Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
172;0.000;;DS1;CO1;-31.92;0.00;-27.32;0.00;-9.19;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
172;1.650;;DS1;RC1;-73.86;-0.29;-63.50;-0.07;-121.52;0.19;0.337;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
172;0.000;;DS2;CO20;-24.05;0.00;-20.22;0.00;-6.79;0.01;0.000;SE0100.00;Serviceability | Negligible deflections
172;0.990;;DS2;CO26;-50.56;0.01;-45.31;0.00;-63.73;-0.02;0.034;SE1100.00;Serviceability | Deflections in z-direction
172;0.825;;DS2;CO37;-34.21;0.25;-34.50;0.10;-40.87;0.14;0.005;SE1200.00;Serviceability | Deflections in y-direction
172;0.000;;DS1;CO6;-73.60;-0.43;-61.57;-0.10;-18.30;-0.23;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
172;;;;;;;;;;;;;
173;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
173;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
173;1.650;;DS1;CO6;-75.49;-0.16;-77.95;-0.03;-248.89;0.10;0.028;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
173;0.000;1;DS1;CO13;-29.35;0.57;-36.47;0.23;-64.28;0.07;0.031;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
173;0.495;;DS1;CO13;-29.42;0.50;-37.07;0.22;-82.49;-0.06;0.046;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
173;1.237;;DS1;CO7;-73.24;0.01;-79.68;-0.01;-232.96;-0.08;0.098;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
173;0.000;11;DS1;CO8;-69.03;0.52;-78.69;0.11;-129.53;-0.22;0.139;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
173;1.650;11;DS1;CO8;-69.48;0.22;-80.48;0.05;-260.90;-0.09;0.132;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
173;0.000;;DS1;CO1;-32.55;0.01;-33.64;0.00;-55.97;0.01;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
173;1.650;;DS1;CO3;-71.27;0.00;-78.82;0.00;-253.26;0.00;0.491;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
173;1.650;14;DS1;CO18;-49.09;0.36;-60.00;0.13;-195.92;-0.13;0.453;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
173;1.650;14;DS1;CO7;-73.37;0.02;-80.11;-0.01;-265.93;-0.10;0.616;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
173;1.650;;DS1;CO3;-71.27;0.00;-78.82;0.00;-253.26;0.00;0.491;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
173;0.000;;DS1;CO1;-32.55;0.01;-33.64;0.00;-55.97;0.01;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
173;0.000;;DS1;CO1;-32.55;0.01;-33.64;0.00;-55.97;0.01;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
173;0.000;;DS1;CO1;-32.55;0.01;-33.64;0.00;-55.97;0.01;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
173;1.650;;DS1;RC1;-75.49;-0.16;-77.95;-0.03;-248.89;0.10;0.623;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
173;0.000;;DS2;CO20;-24.52;0.01;-24.91;0.00;-41.42;0.01;0.000;SE0100.00;Serviceability | Negligible deflections
173;0.990;;DS2;RC2;-22.03;0.27;-27.69;0.15;-73.96;-0.03;0.100;SE1100.00;Serviceability | Deflections in z-direction
173;0.660;;DS2;CO37;-34.96;0.33;-41.79;0.14;-97.11;-0.08;0.002;SE1200.00;Serviceability | Deflections in y-direction
173;0.000;;DS1;CO8;-69.03;0.52;-78.69;0.11;-129.53;-0.22;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
173;;;;;;;;;;;;;
174;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
174;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
174;4.000;9;DS1;CO5;0.24;0.42;-3.79;0.11;5.06;0.56;1.159;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
174;0.000;;DS2;CO20;0.00;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
174;2.500;;DS2;CO26;0.25;0.00;0.00;0.00;5.49;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
174;2.500;;DS2;CO25;-0.18;0.00;0.00;0.00;5.47;0.61;1.734;SE1200.00;Serviceability | Deflections in u-direction
174;0.000;;DS1;CO11;-0.43;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
174;;;;;;;;;;;;;
175;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
175;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
175;3.500;7;DS1;CO5;0.00;0.14;-1.31;0.03;3.44;0.38;0.434;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
175;0.000;;DS2;CO20;0.00;-0.10;0.88;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
175;2.500;;DS2;CO22;0.00;0.00;0.00;0.00;2.84;0.31;0.319;SE1100.00;Serviceability | Deflections in v-direction
175;2.500;;DS2;CO22;0.00;0.00;0.00;0.00;2.84;0.31;0.892;SE1200.00;Serviceability | Deflections in u-direction
175;0.500;;DS1;CO1;0.00;-0.10;0.96;0.00;0.54;0.06;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
175;;;;;;;;;;;;;
176;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
176;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
176;1.000;9;DS1;CO7;0.27;-0.41;3.81;-0.10;5.08;0.54;1.153;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
176;0.000;;DS2;CO20;0.01;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
176;2.500;;DS2;CO26;0.15;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
176;2.500;;DS2;CO25;-0.12;0.00;0.00;0.00;5.47;0.60;1.729;SE1200.00;Serviceability | Deflections in u-direction
176;0.000;;DS1;CO11;-0.28;-0.23;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
176;;;;;;;;;;;;;
177;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
177;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
177;1.000;11;DS1;CO6;-0.94;-0.43;3.80;-0.11;5.07;0.57;1.192;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
177;0.000;;DS2;CO20;0.01;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
177;2.500;;DS2;CO25;-0.66;0.00;0.00;0.00;5.48;0.62;0.615;SE1100.00;Serviceability | Deflections in v-direction
177;2.500;;DS2;CO25;-0.66;0.00;0.00;0.00;5.48;0.62;1.775;SE1200.00;Serviceability | Deflections in u-direction
177;0.000;;DS1;CO6;-0.88;-0.70;6.33;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
177;;;;;;;;;;;;;
178;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
178;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
178;1.000;9;DS1;CO7;0.22;-0.42;3.81;-0.11;5.08;0.56;1.161;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
178;0.000;;DS2;CO20;0.01;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
178;2.500;;DS2;CO26;0.10;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
178;2.500;;DS2;CO25;-0.09;0.00;0.00;0.00;5.47;0.60;1.727;SE1200.00;Serviceability | Deflections in u-direction
178;0.000;;DS1;CO11;-0.22;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
178;;;;;;;;;;;;;
179;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
179;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
179;1.000;9;DS1;CO7;0.26;-0.41;3.81;-0.11;5.08;0.54;1.164;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
179;0.000;;DS2;CO20;0.01;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
179;2.500;;DS2;CO26;0.12;0.00;0.00;0.00;5.50;0.59;0.617;SE1100.00;Serviceability | Deflections in v-direction
179;2.500;;DS2;CO26;0.12;0.00;0.00;0.00;5.50;0.59;1.726;SE1200.00;Serviceability | Deflections in u-direction
179;0.500;;DS1;CO1;0.01;-0.19;1.73;-0.01;0.97;0.10;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
179;;;;;;;;;;;;;
180;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
180;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
180;1.000;11;DS1;CO6;-0.25;-0.43;3.80;-0.11;5.06;0.58;1.167;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
180;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
180;2.500;;DS2;CO24;0.26;0.00;0.00;0.00;5.49;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
180;2.500;;DS2;CO25;-0.19;0.00;0.00;0.00;5.47;0.61;1.735;SE1200.00;Serviceability | Deflections in u-direction
180;0.000;;DS1;CO6;-0.21;-0.72;6.32;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
180;;;;;;;;;;;;;
181;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
181;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
181;1.500;7;DS1;CO7;0.00;-0.14;1.31;-0.03;3.44;0.38;0.436;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
181;0.000;;DS2;CO20;0.00;-0.10;0.88;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
181;2.500;;DS2;CO24;0.00;0.00;0.00;0.00;2.84;0.31;0.319;SE1100.00;Serviceability | Deflections in v-direction
181;2.500;;DS2;CO26;0.00;0.00;0.00;0.00;2.84;0.31;0.892;SE1200.00;Serviceability | Deflections in u-direction
181;0.500;;DS1;CO1;0.00;-0.10;0.96;0.00;0.54;0.06;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
181;;;;;;;;;;;;;
182;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
182;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
182;4.000;9;DS1;CO5;0.26;0.41;-3.81;0.10;5.08;0.54;1.149;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
182;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
182;2.500;;DS2;CO24;0.14;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
182;2.500;;DS2;CO25;-0.11;0.00;0.00;0.00;5.47;0.60;1.729;SE1200.00;Serviceability | Deflections in u-direction
182;0.000;;DS1;CO11;-0.28;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
182;;;;;;;;;;;;;
183;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
183;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
183;4.000;11;DS1;CO6;-0.92;0.43;-3.80;0.11;5.07;0.57;1.181;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
183;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
183;2.500;;DS2;CO25;-0.65;0.00;0.00;0.00;5.48;0.62;0.615;SE1100.00;Serviceability | Deflections in v-direction
183;2.500;;DS2;CO25;-0.65;0.00;0.00;0.00;5.48;0.62;1.774;SE1200.00;Serviceability | Deflections in u-direction
183;0.000;;DS1;CO6;-0.93;-0.75;6.33;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
183;;;;;;;;;;;;;
184;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
184;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
184;4.000;9;DS1;CO5;0.22;0.42;-3.81;0.11;5.08;0.56;1.156;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
184;0.000;;DS2;CO20;0.00;-0.18;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
184;2.500;;DS2;CO24;0.11;0.00;0.00;0.00;5.50;0.60;0.617;SE1100.00;Serviceability | Deflections in v-direction
184;2.500;;DS2;CO25;-0.09;0.00;0.00;0.00;5.47;0.60;1.727;SE1200.00;Serviceability | Deflections in u-direction
184;0.000;;DS1;CO11;-0.23;-0.24;2.16;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
184;;;;;;;;;;;;;
185;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
185;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
185;4.000;9;DS1;CO5;0.25;0.41;-3.81;0.11;5.08;0.54;1.159;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
185;0.000;;DS2;CO20;0.00;-0.17;1.60;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
185;2.500;;DS2;CO24;0.12;0.00;0.00;0.00;5.50;0.59;0.617;SE1100.00;Serviceability | Deflections in v-direction
185;2.500;;DS2;CO24;0.12;0.00;0.00;0.00;5.50;0.59;1.726;SE1200.00;Serviceability | Deflections in u-direction
185;0.500;;DS1;CO1;0.00;-0.19;1.73;-0.01;0.97;0.11;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
185;;;;;;;;;;;;;
186;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
186;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
186;3.500;7;DS1;CO5;0.14;0.18;-1.63;0.04;4.26;0.48;0.580;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
186;0.000;;DS2;CO20;0.00;-0.11;1.02;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
186;2.500;;DS2;CO24;0.10;0.00;0.00;0.00;3.51;0.40;0.394;SE1100.00;Serviceability | Deflections in v-direction
186;2.500;;DS2;CO24;0.10;0.00;0.00;0.00;3.51;0.40;1.155;SE1200.00;Serviceability | Deflections in u-direction
186;0.000;;DS1;CO11;-0.29;-0.15;1.37;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
186;;;;;;;;;;;;;
187;Beam | 4 - Z 232Z23 | L : 5.000 m;;;;;;;;;;;;
187;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
187;1.500;7;DS1;CO7;0.14;-0.18;1.63;-0.04;4.26;0.48;0.583;SP6110.00;Section Proof | Elastic design acc. to EN 1993-1-3, 6.1.6
187;0.000;;DS2;CO20;0.00;-0.11;1.02;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
187;2.500;;DS2;CO26;0.10;0.00;0.00;0.00;3.51;0.40;0.394;SE1100.00;Serviceability | Deflections in v-direction
187;2.500;;DS2;CO26;0.10;0.00;0.00;0.00;3.51;0.40;1.155;SE1200.00;Serviceability | Deflections in u-direction
187;0.000;;DS1;CO11;-0.29;-0.15;1.37;0.00;0.00;0.00;Non-designable;ER2300.00;Error | Stability design is not possible acc. to EN 1993-1-3, 6.2.4(2)
187;;;;;;;;;;;;;
188;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;;;;;;;
188;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
188;1.650;;DS1;CO11;5.64;-1.49;-0.85;0.03;2.09;-1.07;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
188;0.000;;DS1;CO17;-4.86;-0.84;0.30;-0.02;3.18;2.20;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
188;0.000;1;DS1;CO16;5.22;0.83;-0.41;0.04;4.62;-1.64;0.028;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
188;1.650;;DS1;CO16;5.27;-1.49;-0.97;0.03;3.46;-1.05;0.007;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
188;1.650;;DS1;CO6;2.45;-0.90;-0.91;0.01;4.71;-0.63;0.007;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
188;1.650;;DS1;CO11;5.64;-1.49;-0.85;0.03;2.09;-1.07;0.005;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
188;1.650;;DS1;CO12;-4.44;2.04;-0.23;-0.01;1.71;1.04;0.006;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
188;0.000;;DS1;CO1;-0.55;0.00;0.15;0.00;2.01;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
188;0.000;;DS1;CO6;2.39;0.50;-0.37;0.02;5.77;-0.98;0.142;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
188;0.413;;DS1;CO12;-4.49;0.02;0.25;-0.02;1.71;2.40;0.120;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
188;0.413;8;DS1;CO17;-4.85;0.02;0.13;-0.02;3.26;2.36;0.277;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
188;0.413;;DS1;CO17;-4.85;0.02;0.13;-0.02;3.26;2.36;0.125;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
188;0.000;;DS1;CO4;-1.23;0.00;-0.11;0.00;5.20;0.01;0.127;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
188;0.495;;DS1;CO15;0.73;-0.05;-0.10;-0.01;3.84;1.25;0.072;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
188;0.000;;DS2;CO20;-0.42;0.00;0.13;0.00;1.49;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
188;0.825;;DS2;CO25;1.57;-0.17;-0.42;0.01;3.74;-0.75;0.106;SE1100.00;Serviceability | Deflections in z-direction
188;0.825;;DS2;CO36;-3.26;0.53;-0.03;-0.01;2.31;1.48;0.110;SE1200.00;Serviceability | Deflections in y-direction
188;;;;;;;;;;;;;
189;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;;;;;;;
189;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
189;1.650;;DS1;CO11;5.91;-2.17;-3.52;0.08;-3.33;1.93;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
189;0.000;;DS1;CO17;-4.37;1.56;-4.63;-0.08;3.04;1.00;0.006;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
189;1.444;1;DS1;CO17;-4.32;2.67;-5.10;-0.09;-3.98;-2.24;0.069;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
189;1.650;;DS1;CO6;3.14;-1.33;-7.78;0.05;-7.79;1.19;0.057;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
189;1.650;;DS1;CO4;-0.48;0.00;-7.54;0.00;-7.54;0.00;0.055;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
189;1.650;;DS1;CO12;-4.17;2.71;-2.95;-0.09;-2.76;-2.81;0.009;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
189;0.000;;DS1;CO1;-0.28;0.00;-2.56;0.00;1.77;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
189;1.650;;DS1;CO6;3.14;-1.33;-7.78;0.05;-7.79;1.19;0.191;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
189;1.650;;DS1;CO12;-4.17;2.71;-2.95;-0.09;-2.76;-2.81;0.141;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
189;1.650;14;DS1;CO17;-4.32;2.70;-5.16;-0.09;-5.03;-2.80;0.365;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
189;1.650;;DS1;CO17;-4.32;2.70;-5.16;-0.09;-5.03;-2.80;0.156;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
189;0.660;;DS1;CO12;-4.20;2.29;-2.65;-0.08;-0.01;-0.26;0.013;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
189;1.650;;DS1;CO5;0.44;0.92;-7.50;-0.03;-7.31;-0.92;0.078;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
189;0.000;;DS2;CO20;-0.21;0.00;-1.88;0.00;1.34;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
189;1.155;;DS2;CO25;2.06;-0.82;-5.28;0.03;-2.71;0.35;0.037;SE1100.00;Serviceability | Deflections in z-direction
189;1.067;;DS2;CO36;-2.91;1.69;-3.53;-0.06;-1.48;-0.83;0.041;SE1200.00;Serviceability | Deflections in y-direction
189;;;;;;;;;;;;;
190;Beam | 3 - HEA 140 | L : 0.075 m;;;;;;;;;;;;
190;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
190;0.075;;DS1;CO16;6.18;-0.63;-10.01;0.38;-6.46;2.03;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
190;0.000;;DS1;CO12;-3.96;0.49;-5.14;-0.49;-2.80;-2.81;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
190;0.000;1;DS1;CO17;-3.90;0.47;-9.43;-0.49;-5.11;-2.80;0.385;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
190;0.075;;DS1;CO6;3.78;-0.42;-14.13;0.23;-8.96;1.24;0.108;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
190;0.075;;DS1;CO4;0.16;0.00;-13.89;0.00;-8.69;0.00;0.101;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
190;0.075;;DS1;CO16;6.18;-0.63;-10.01;0.38;-6.46;2.03;0.002;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
190;0.000;;DS1;CO1;-0.01;0.00;-5.27;0.00;-2.94;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
190;0.075;;DS1;CO6;3.78;-0.42;-14.13;0.23;-8.96;1.24;0.220;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
190;0.075;;DS1;CO17;-3.90;0.53;-9.45;-0.49;-5.80;-2.87;0.144;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
190;0.075;14;DS1;CO17;-3.90;0.53;-9.45;-0.49;-5.80;-2.87;0.544;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
190;0.075;;DS1;CO17;-3.90;0.53;-9.45;-0.49;-5.80;-2.87;0.164;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
190;0.000;;DS2;CO20;-0.01;0.00;-3.89;0.00;-2.13;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
190;0.019;;DS2;RC2;4.11;-0.37;-7.04;0.26;-4.12;1.30;0.016;SE1100.00;Serviceability | Deflections in z-direction
190;0.037;;DS2;CO31;-2.64;0.33;-3.82;-0.33;-2.23;-1.89;0.006;SE1200.00;Serviceability | Deflections in y-direction
190;;;;;;;;;;;;;
191;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;;;;;;;
